service_id,date,exception_type
20U-H50U000S-91-S,20200624,2
20U-H50U000S-91-S,20200701,2
20S-H50S000S-82-S,20200907,2
20S-H50S000S-82-S,20201012,2
20U-H54U000S-11-S,20200624,2
20U-H54U000S-11-S,20200701,2
20S-H54S000S-80-S,20200907,2
20S-H54S000S-80-S,20201012,2
20U-H55U000S-84-S,20200624,2
20U-H55U000S-84-S,20200701,2
20S-H55S000S-89-S,20200907,2
20S-H55S000S-89-S,20201012,2
20U-H56U000S-86-S,20200624,2
20U-H56U000S-86-S,20200701,2
20S-H56S000S-80-S,20200907,2
20S-H56S000S-80-S,20201012,2
20U-H57U000S-11-S,20200624,2
20U-H57U000S-11-S,20200701,2
20S-H57S000S-96-S,20200907,2
20S-H57S000S-96-S,20201012,2
20U-H58U000S-88-S,20200624,2
20U-H58U000S-88-S,20200701,2
20S-H58S000S-82-S,20200907,2
20S-H58S000S-82-S,20201012,2
20U-H59U000S-84-S,20200624,2
20U-H59U000S-84-S,20200701,2
20S-H59S000S-81-S,20200907,2
20S-H59S000S-81-S,20201012,2
20U-H60U000S-05-S,20200624,2
20U-H60U000S-05-S,20200701,2
20S-H60S000S-82-S,20200907,2
20S-H60S000S-82-S,20201012,2
20U-H62U000S-05-S,20200624,2
20U-H62U000S-05-S,20200701,2
20S-H62S000S-01-S,20200907,2
20S-H62S000S-01-S,20201012,2
20U-GLOBAUX-10-S,20200624,2
20U-GLOBAUX-10-S,20200701,2
20S-GLOBAUX-10-S,20200907,2
20S-GLOBAUX-10-S,20201012,2
